date,country,lang,content,label
2021-10-23 16:20:41+00:00,Germany,de,"Plakataktion zur Thematik „Muslime gegen Rasissmus“ von 22.10.2021 - 01.11.2021 

#Islam #Muslimegegenrassismus #Ahmadiyya #Menschenrechte https://t.co/gEVGGN0GSL",0
2015-05-16 05:37:36+00:00,France,en,"Worth every penny to come here! Even Just for the beach. 
#SubhanAllah 🙏😍💖😇

From the top view of… https://t.co/0RqLsnlorJ",2
2018-08-14 11:32:50+00:00,United Kingdom,en,The irony of those jumping on the #BorisJohnson bandwagon who are now an authority on the #hijab #niqab #burqa &amp; #Koran is utterly astounding. You’d swear they were bumping into those of #Islamic faith on a daily basis. Truth is they won’t see a #Muslim from one week to the next.,2
2021-11-28 19:39:24+00:00,The Netherlands,en,"#Torment_Planet_Has_Neared

global means on the internet and deliver it to all the Arab and Non-Arab channels
Imam Nasser Mohammed Al-Yamani
14-10-2021
https://t.co/5cVGn9GVyb https://t.co/QIjckTMHSI",2
2021-11-29 13:29:36+00:00,Turkey,en,"The Grand Mosque of Bursa, first capital of Ottomon Empire (@ Ulu Cami in Osmangazi) https://t.co/g3jf9JeNbM https://t.co/9bsxdFQd3f",2
2021-10-09 16:15:25+00:00,France,en,"In the closing session of the European Youth Event in the European Parliament, @HibaLat is reminding all of us how important is to work together to fight against #Islamophobia

#EYE2021 #EYEFEMYSO21 

@Europarl_EYE @FEMYSO https://t.co/e1M0DhT7ke",0
2018-10-10 13:23:10+00:00,Italy,en,"@RightModernist Agreed. I was experiencing cognitive dissonance over this so much I had to do a little investigating. Homosexual western converts are welcomed into Ismaili. Sufism may also allow for this behavior, can not confirm. Salafi? Going to throw them off a roof.",2
2021-09-11 16:34:53+00:00,United Kingdom,en,Great to see people standing together against #Islamophobia at #Didsbury mosque today after last nights fire bomb attack #Solidarity to @didsburymosque - #WeStandTogether @Manchester_SUTR https://t.co/WEPKnEPsDA,0
2020-02-26 22:10:05+00:00,United Kingdom,en,@antonioguterres - 1 million brutally detained and brainwashed in Xinjiang -people from across the world are counting on you to raise your voice https://t.co/yIxdp8h5SA #StandWithUyghurs # CloseTheCamps # UN # HumanRightsCouncil,2
2018-12-19 11:03:24+00:00,Italy,en,"My Friday @ #mosque 
Multi religious  #rome •
👇watch my gallery👇
@gabrielegirardi
•
•
These👇 guys are good 
megaphotographers 
ig_baoli 
it_italianstyle 
streetsgrammer… https://t.co/luv3p35V6e",2
2018-12-13 16:42:18+00:00,United Kingdom,en,Home Affairs Committee calls for further evidence on Islamophobia - News from Parliament  https://t.co/8h1dYNjTcx https://t.co/OqNuzY1Omu,2
2018-12-28 09:57:53+00:00,United Kingdom,en,"If one of our players had been awarded a pen for going down when touched like #Salah did then we’d all be happy and say fair game.
People need to take the blinkers off once in a while",2
2018-12-23 21:23:49+00:00,Norway,en,Many #secular and #liberal Pakistani #Muslims &amp; non Muslims feeling insecure they are facing threats hate propaganda against them is actually an endorsement of what Muhammad Ali Jinnah did in 1947 ??????? https://t.co/SvCU5YNHda,2
2018-07-08 17:43:58+00:00,United Kingdom,en,"Zealots are religious people on righteous mission 

We would never think of calling Daesh or Taliban ""zealots"", because their cause is evil. So we call them #extremists, #radicalised to a destructive cause

#Brextremism is a dangerous, radicalised fascistic extremism. https://t.co/vmJrN9jHGD",2
2021-11-15 19:35:51+00:00,United Kingdom,en,These people defending these extreme Islamists make me sick ...how can they defend the undefendable? 😡😡😡,2
2018-12-28 23:04:23+00:00,United Kingdom,en,"“No militant group has yet claimed responsibility for Friday’s attack. The most active group has been Islamic State, which has been operating mainly in North Sinai.” 

Bomb attack on tourist bus near pyramids kills at least four people https://t.co/WZmY4khs6C #Egypt",2
2013-10-13 09:47:57+00:00,Tunisia,en,#Allah Ya #Allah Guide me All The way to your #Jannah ~,0
2021-11-23 14:54:09+00:00,United Kingdom,en,@KbfMajor @Nigel_Farage That’s the problem with being thick as two short planks. Whether it’s an Islamic Fundamentalist in the streets or Nigel Führage on Twitter or GBeebies; it’s the same thing. Both are equally as abhorrent.,2
2021-11-26 17:38:06+00:00,United Kingdom,en,"@naveedmalkot And since it discusses ethics, also known as moral philosophy and what constitutes good and bad conduct, right and wrong values, and good and evil, I believe for Muslims, it is crucial to study these ‘basics, and use them in their Dàwah to Islam, inshaAllah.",0
2018-12-31 08:32:10+00:00,United Kingdom,en,"@CairnsAlistair @BBCBreakfast While we argue to allow them in, the Muslims we already refuged,Threaten the Govt.  with RIOTS IF they grant the Pakistani Christian Mother of 4, they want to kill her...On what grounds U R Discussing...For Sure Not Humanity..?",1
2018-12-02 23:51:23+00:00,United Kingdom,en,"Allah grant you Jannah Ameen !! @ Ilford, Redbridge, United Kingdom https://t.co/lNB8Fhuk9a",2
2018-12-08 23:17:16+00:00,United Kingdom,en,"@someone01015091 @_muslimah_h Please show me your evidence that Muslims in the U.K. commit fewer sex crimes per capita than ‘kuffar’ (nice use of a derogatory slur, btw).",1
2018-08-06 12:27:51+00:00,United Kingdom,en,"this an emotional scene that appears indian #pilgrims leaving to Makkah and the locals waving to them as they wish safe journey. 
May Allah accept their good deeds https://t.co/LFjBxH6MTe",0
2018-12-01 04:53:18+00:00,United Kingdom,en,Yesterday Friday 30 Nov #GreatReturnOfMarch 18 shot injured by live rounds including 1 press wearing press I'd clothing  23 treated for tear gas . 1st time no deaths in 36 weeks #Gaza #Palestine,2
2020-03-03 14:14:09+00:00,United Kingdom,en,"@ErkinSidick Eric have you a further written source? This is major! Please share.
#CloseTheCamps",0
2018-11-21 10:51:43+00:00,United Kingdom,en,"@MuhammedAMalang @y8shi Let me make this simple:
Batriya - A sect of zaidiya, Some 'shia' such as yasir al habibi uses the term to mean those shia who mix their allegiance to the imams and the first 3 caliphs.

Shia - follower of ahlul bait, with imam ali (as) being the first",2
2021-11-28 19:46:01+00:00,The Netherlands,en,"O Non-Arabs and Arabs, certainly the planet of Torment is just around the corner, so where would you escape?.
Imam Nasser Mohammed Al-Yamani
14-10-2021
9
#Torment_Planet_Has_Neared
 Omicron
urEHI%",2
2020-06-01 20:07:50+00:00,United Kingdom,en,"Please, America, do not vote @realDonaldTrump !!! #Biden2020 I’m not American, but I can see the damage he has caused to your country #SaveAmerica",2
2018-12-29 17:54:49+00:00,Turkey,en,"Blue Mosque! 

#bluemosque #istanbul #istanbulturkey @ Blue Mosque (Sultanahmet Camii) https://t.co/4KlrXd3BFH",2
2019-11-30 08:58:53+00:00,United Kingdom,en,@piersmorgan Yes - let’s recall these #Radicals @BorisJohnson - now - today!  Get them banged up and preferably with our Great prisoners that will give them #72Virgins!!,2
2018-12-28 04:55:32+00:00,United Kingdom,en,Alhamdulillah for the tests I've been through and going through. For them comes blessings in the akhirah.,2
2018-04-08 19:13:53+00:00,France,en,"@fontaine_nico @QueenOfHellBoho @abracadabxtch Easy come easy go, will you let me go ? Bismillah NO !",2
2018-12-01 00:59:30+00:00,United Kingdom,en,"#miss #you #gran. #allah #bless #your #soul. #ameen 

#keepstronglivelife #ilford @ Ilford, Redbridge, United Kingdom https://t.co/UuJGDh6wKx",2
2018-12-28 09:35:39+00:00,Turkey,en,"The evening call to prayer inside the courtyard of this beautiful Mosque is mesmerizing and unforgettable. 
______
#istanbul #bluemosque #turkey #islam #peripateticcouple #RTWjourney… https://t.co/naAJqqIzDD",2
2018-12-29 18:55:47+00:00,United Kingdom,en,Arsenal beating us 1-1 seems sooooooooooooooooo long ago now 🤣 #LFC #LIVARS #YNWA #Firmino #salah #mane #klopp,2
2021-11-22 13:53:47+00:00,United Kingdom,en,@Muslimah_Imaan @tejwo @MairavZ Something is seriously wrong with your judgement,2
2020-11-03 20:49:29+00:00,Austria,de,"Preis und Dank gebühren Gott, der Erhaben in Seinem Ein- und Einzigsein und in Seiner Alleinigkeit dennoch Seinen Geschöpfen nahe ist. Voller Majestät Seine Herrschaft und prächtig die Stützen Seiner Schöpfung. #ProphetMuhammad #ImamAli Text_von#Ghadir_Sermon",2
2014-09-03 14:42:21+00:00,United Kingdom,en,@David_Cameron @BarackObama  #listenup!! #American talks a lot f sense about #Radicals!! https://t.co/DiofH9tZxk,2
2018-09-29 20:25:18+00:00,Turkey,en,"She is a Salafi woman/wife &amp; she is honoured &amp; she have high status, for indeed our Noble Prophet -ﷺ- said:

‘The best of you, is the one who is best to his wife and I am the best to my wife and if your companions should die then make Dua’ for them.’ [Silsilah Saheehah’ no. 285]",2
2021-10-24 16:42:05+00:00,United Kingdom,en,Can’t stand the prick but he’s ok ain’t he #Salah,2
2021-11-04 20:10:54+00:00,United Kingdom,en,Annotating quotes is one of my favourite things to do with students in lesson especially when students present their books so neatly. @OldhamOasis #quran #year9 #capitalGforGodplease https://t.co/nklNxUjMG2,2
2018-11-23 08:38:46+00:00,United Kingdom,en,"Asia Bibi:-Thank you, We waiting for the Home office reply, But I Afraid it might be too late, a huge number of the Radicals are searching now House to a house to find her...?😠😡❣️❣️",2
2018-12-17 13:13:14+00:00,United Kingdom,en,"GIVING AWAY 24 HRS THIS WEEK TO DISCUSS WITH ANYONE WHO MAY NEED AN ADVICE, COUNSELLING OR JUST A CHAT ON ANYTHING ☃️❄⚘ #christmas #advice #birthday #Jesus #Christ #christian #holidays #sunday #love #entrepreneurs #blackpool #rccg  #photos #entrepreneurship #human #learn https://t.co/LtsQDdC2AU",2
2021-10-28 07:52:08+00:00,France,en,"Mashallah, Allah bless you and your entire family https://t.co/FWBa5qNaDQ",2
2018-11-16 18:04:01+00:00,United Kingdom,en,"@stevejackson45 curry tonight Steve,I thought the New Bismillah was the worst curry in Yorkshire",2
