,Unnamed: 0,Unnamed: 0.1,date,country,lang,content,label,id,translated_tweets,tokenized_content
0,0,0,2021-10-23 16:20:41+00:00,Germany,de,"Plakataktion zur Thematik „Muslime gegen Rasissmus“ von 22.10.2021 - 01.11.2021 

#Islam #Muslimegegenrassismus #Ahmadiyya #Menschenrechte https://t.co/gEVGGN0GSL",0.0,,poster campaign on the subject of muslims against racism from #islam #muslimeagainst racism #ahmadiyya #human rights,poster campaign subject muslims racism #islam #muslimeagainst racism #ahmadiyya #human right
1,1,1,2015-05-16 05:37:36+00:00,France,en,"Worth every penny to come here! Even Just for the beach. 
#SubhanAllah 🙏😍💖😇

From the top view of… https://t.co/0RqLsnlorJ",2.0,,"Worth every penny to come here! Even Just for the beach. 
#SubhanAllah 🙏😍💖😇

From the top view of… https://t.co/0RqLsnlorJ",worth every penny come even beach #subhanallah folded_hands smiling_face_with_heart-eyes sparkling_heart smiling_face_with_halo top view
2,2,2,2018-08-14 11:32:50+00:00,United Kingdom,en,The irony of those jumping on the #BorisJohnson bandwagon who are now an authority on the #hijab #niqab #burqa &amp; #Koran is utterly astounding. You’d swear they were bumping into those of #Islamic faith on a daily basis. Truth is they won’t see a #Muslim from one week to the next.,2.0,,The irony of those jumping on the #BorisJohnson bandwagon who are now an authority on the #hijab #niqab #burqa &amp; #Koran is utterly astounding. You’d swear they were bumping into those of #Islamic faith on a daily basis. Truth is they won’t see a #Muslim from one week to the next.,irony jump #borisjohnson bandwagon authority #hijab #niqab #burqa #koran utterly astound swear bump #islamic faith daily basis truth win see #muslim one week next
3,3,3,2021-11-28 19:39:24+00:00,The Netherlands,en,"#Torment_Planet_Has_Neared

global means on the internet and deliver it to all the Arab and Non-Arab channels
Imam Nasser Mohammed Al-Yamani
14-10-2021
https://t.co/5cVGn9GVyb https://t.co/QIjckTMHSI",2.0,,"#Torment_Planet_Has_Neared

global means on the internet and deliver it to all the Arab and Non-Arab channels
Imam Nasser Mohammed Al-Yamani
14-10-2021
https://t.co/5cVGn9GVyb https://t.co/QIjckTMHSI",#torment_planet_has_neared global mean internet deliver arab non-arab channel imam nasser mohammed al-yamani
4,4,4,2021-11-29 13:29:36+00:00,Turkey,en,"The Grand Mosque of Bursa, first capital of Ottomon Empire (@ Ulu Cami in Osmangazi) https://t.co/g3jf9JeNbM https://t.co/9bsxdFQd3f",2.0,,"The Grand Mosque of Bursa, first capital of Ottomon Empire (@ Ulu Cami in Osmangazi) https://t.co/g3jf9JeNbM https://t.co/9bsxdFQd3f",grand mosque bursa first capital ottomon empire ulu cami osmangazi
5,5,5,2021-10-09 16:15:25+00:00,France,en,"In the closing session of the European Youth Event in the European Parliament, @HibaLat is reminding all of us how important is to work together to fight against #Islamophobia

#EYE2021 #EYEFEMYSO21 

@Europarl_EYE @FEMYSO https://t.co/e1M0DhT7ke",0.0,,"In the closing session of the European Youth Event in the European Parliament, @HibaLat is reminding all of us how important is to work together to fight against #Islamophobia

#EYE2021 #EYEFEMYSO21 

@Europarl_EYE @FEMYSO https://t.co/e1M0DhT7ke",closing session european youth event european parliament remind important work together fight #islamophobia #eye2021 #eyefemyso21
6,6,6,2018-10-10 13:23:10+00:00,Italy,en,"@RightModernist Agreed. I was experiencing cognitive dissonance over this so much I had to do a little investigating. Homosexual western converts are welcomed into Ismaili. Sufism may also allow for this behavior, can not confirm. Salafi? Going to throw them off a roof.",2.0,,"@RightModernist Agreed. I was experiencing cognitive dissonance over this so much I had to do a little investigating. Homosexual western converts are welcomed into Ismaili. Sufism may also allow for this behavior, can not confirm. Salafi? Going to throw them off a roof.",agree experience cognitive dissonance much little investigating homosexual western convert welcome ismaili sufism may also allow behavior confirm salafi go throw roof
7,7,7,2021-09-11 16:34:53+00:00,United Kingdom,en,Great to see people standing together against #Islamophobia at #Didsbury mosque today after last nights fire bomb attack #Solidarity to @didsburymosque - #WeStandTogether @Manchester_SUTR https://t.co/WEPKnEPsDA,0.0,,Great to see people standing together against #Islamophobia at #Didsbury mosque today after last nights fire bomb attack #Solidarity to @didsburymosque - #WeStandTogether @Manchester_SUTR https://t.co/WEPKnEPsDA,great see people stand together #islamophobia #didsbury mosque today last night fire bomb attack #solidarity #westandtogether
8,8,8,2020-02-26 22:10:05+00:00,United Kingdom,en,@antonioguterres - 1 million brutally detained and brainwashed in Xinjiang -people from across the world are counting on you to raise your voice https://t.co/yIxdp8h5SA #StandWithUyghurs # CloseTheCamps # UN # HumanRightsCouncil,2.0,,@antonioguterres - 1 million brutally detained and brainwashed in Xinjiang -people from across the world are counting on you to raise your voice https://t.co/yIxdp8h5SA #StandWithUyghurs # CloseTheCamps # UN # HumanRightsCouncil,million brutally detain brainwash xinjiang people across world count raise voice #standwithuyghurs closethecamps humanrightscouncil
9,9,9,2018-12-19 11:03:24+00:00,Italy,en,"My Friday @ #mosque 
Multi religious  #rome •
👇watch my gallery👇
@gabrielegirardi
•
•
These👇 guys are good 
megaphotographers 
ig_baoli 
it_italianstyle 
streetsgrammer… https://t.co/luv3p35V6e",2.0,,"My Friday @ #mosque 
Multi religious  #rome •
👇watch my gallery👇
@gabrielegirardi
•
•
These👇 guys are good 
megaphotographers 
ig_baoli 
it_italianstyle 
streetsgrammer… https://t.co/luv3p35V6e",friday #mosque multi religious #rome backhand_index_pointing_down watch gallery backhand_index_pointing_down backhand_index_pointing_down guy good megaphotographers ig_baoli it_italianstyle streetsgrammer
10,10,10,2018-12-13 16:42:18+00:00,United Kingdom,en,Home Affairs Committee calls for further evidence on Islamophobia - News from Parliament  https://t.co/8h1dYNjTcx https://t.co/OqNuzY1Omu,2.0,,Home Affairs Committee calls for further evidence on Islamophobia - News from Parliament  https://t.co/8h1dYNjTcx https://t.co/OqNuzY1Omu,home affair committee call evidence islamophobia news parliament
11,11,11,2018-12-28 09:57:53+00:00,United Kingdom,en,"If one of our players had been awarded a pen for going down when touched like #Salah did then we’d all be happy and say fair game.
People need to take the blinkers off once in a while",2.0,,"If one of our players had been awarded a pen for going down when touched like #Salah did then we’d all be happy and say fair game.
People need to take the blinkers off once in a while",one player award pen go touch like #salah happy say fair game people need take blinker
12,12,12,2018-12-23 21:23:49+00:00,Norway,en,Many #secular and #liberal Pakistani #Muslims &amp; non Muslims feeling insecure they are facing threats hate propaganda against them is actually an endorsement of what Muhammad Ali Jinnah did in 1947 ??????? https://t.co/SvCU5YNHda,2.0,,Many #secular and #liberal Pakistani #Muslims &amp; non Muslims feeling insecure they are facing threats hate propaganda against them is actually an endorsement of what Muhammad Ali Jinnah did in 1947 ??????? https://t.co/SvCU5YNHda,many #secular #liberal pakistani #muslims non muslim feel insecure face threat hate propaganda actually endorsement muhammad ali jinnah
