date,country,lang,content
2021-08-31 09:56:34+00:00,United Kingdom,en,"@geoffingarfield @RichWhiting @leftworks1 There's a lot of territory outside racial/religious discrimination and incitement to racial hatred. If a Labour member said immigration needs to be reduced because Muslims are ""taking over"", we would recognise it"
2018-09-21 19:15:58+00:00,United Kingdom,en,"Bismillah, my new journey 😊"
2021-08-30 21:31:16+00:00,United Kingdom,en,@JamesHesp @ejones962 They'are fleecing us for petrol Diesel and we are taking there poor and persecuted fellow Muslims
2021-05-31 12:22:33+00:00,United Kingdom,en,"Kitāb At-Tawhid • Lesson 16 • has now been posted on our Telegram Channel.

Ustadh @YasinMMunye 
(King Abdulaziz University | Makkah)

🔅 Kitāb At-Tawhid - Lesson 16
🔸 Last Lesson - Benefits of repeating Kitāb At-Tawhid over and over again.

https://t.co/0A6CEMlj40"
2018-12-15 16:27:32+00:00,Turkey,en,"Layover done *very* well. 
#istanbul #turkey #travel
#mosque @ Istanbul, Turkey https://t.co/V0HFJgFnHH"
2018-12-31 21:01:02+00:00,United Kingdom,en,"AMYA Muslim charity  @UKMuslimYouth
aims to deliver 7000 meals to homeless by New Year's Day 👏👏👏 #LoveForAllHatredForNone #HAPPYNEWYEAR2019 #HappyHogmanay https://t.co/3aSzJj5nL7"
2018-09-21 21:36:03+00:00,United Kingdom,en,"@zukham @AhlulbaytTV Yeh that's why most of them turned there backs on our imams, while thinking of greed for themselves"
2015-01-10 23:50:10+00:00,United Kingdom,en,Everyone has own way of showing their love for the beloved #prophetMuhammad #PBUH so dnt judge any1 bcoz in the eyes of Allah we al are same
2019-08-15 00:18:17+00:00,United Kingdom,en,When a fringe performance starts like this you know you are in for a terrific ride. Didn’t disappoint !              An ISIS tragicomedy @wounduptheatre  #Bismillah  #edinburghfringe2019 #underbelly https://t.co/ZQNlKBWEgH
2018-08-12 06:45:46+00:00,United States,en,How many state do we have 2 lose 2 radical Muslims before the left wakes up? Radicals hate all none Muslims&amp; want them dead. They want 2 wipe away r history replacing it with theirs this also goes 4 r constitution &amp; r status. Why do u think mayors r giving the ok 2 take them down https://t.co/viahXBDMY3
2021-07-28 15:49:09+00:00,United States,en,May Allah Bless Us And Protect Us. ❤️🤲 #alhamdulillah #allahuakbar #quran #allah https://t.co/OPXuW2XJa3
2018-12-07 21:49:32+00:00,Czech Republic,en,"Difficult event, but nice meeting after all in my homeclub meccaclubprague ...its been pleasure to meet you, thanx. 👍
.
.
#djlife #livesax @ Mecca Club Prague https://t.co/dh1KAxxe6r"
2021-02-08 20:31:16+00:00,Germany,en,"Live aus Darmstadt,Hessen
#AMJ Darmstadt

#ProphetMuhammad „(saw) the king of Peace and Security and a Mercy to the World.“

Streaming-Link:
https://t.co/c3gi2ou9fM
Meeting-ID: 939 1930 7574 https://t.co/5fHQsHpnWX"
2021-06-14 16:50:39+00:00,France,en,"#Trudeau speaking about #hijab and « traditional clothes » be like : 

https://t.co/JuyONKBp1j https://t.co/WGrUntn0z8"
2021-08-31 19:20:07+00:00,United States,en,@forskingobbler Muslims killed Muslims here super genius.
2021-07-24 12:30:40+00:00,United Kingdom,en,"Once upon Time.. #throwback  
#nationalgalerylondon 

@bundaanna.r 
#diarybundaanna 
#onceuponatimelondon 
#alhamdulillahforeverything 
#visitlondon 
#londonengland 
#memoriesofmylife 
#holidaytime
#bestholiday https://t.co/qhMLrZBFS4"
